Site,Mean,Median,Slope,Pval,IAV,Type
68,23.92243862,23.91786428,-0.004534907,0.238992788,0.176094437,Medlyn
69,23.92243862,23.91786428,-0.004534907,0.238992788,0.176094437,Medlyn
70,24.18797401,24.18525333,-0.010250617,0.01249863,0.138774741,Medlyn
71,24.18797401,24.18525333,-0.010250617,0.01249863,0.138774741,Medlyn
72,22.70959249,22.75168833,-0.002922255,0.434311443,0.185693341,Medlyn
73,24.18586911,24.17442574,-0.008220296,0.017696356,0.171862765,Medlyn
74,24.18586911,24.17442574,-0.008220296,0.017696356,0.171862765,Medlyn
75,23.10700921,23.15172701,-0.011809482,6.27E-05,0.132537343,Medlyn
76,24.18586911,24.17442574,-0.008220296,0.017696356,0.171862765,Medlyn
77,22.28039022,22.3120077,-0.005154469,0.172615162,0.16529839,Medlyn
78,23.87144283,23.86309697,-0.010163453,0.01775707,0.21157546,Medlyn
79,22.26010878,22.24598078,-0.004702974,0.30221577,0.159839031,Medlyn
80,22.21574097,22.23452799,-0.00943443,0.014989908,0.176671536,Medlyn
81,23.861818,23.88134305,-0.008578391,0.007309538,0.139822782,Medlyn
82,20.64424471,20.60501025,0.001284783,0.883962377,0.206610898,Medlyn
83,20.65473389,20.62013581,-0.000431716,0.914752339,0.208160233,Medlyn
84,22.7384597,22.75948122,-0.006819529,0.007621351,0.157842518,Medlyn
85,21.69089112,21.66943809,-0.005516429,0.126096569,0.210192514,Medlyn
86,22.08546158,22.08568855,-0.008271659,0.007243571,0.143887367,Medlyn
87,22.08546158,22.08568855,-0.008271659,0.007243571,0.143887367,Medlyn
88,22.08546158,22.08568855,-0.008271659,0.007243571,0.143887367,Medlyn
89,22.08546158,22.08568855,-0.008271659,0.007243571,0.143887367,Medlyn
90,24.27424526,24.1236774,-0.016982552,0.117895002,0.551900103,Medlyn
91,24.62206151,24.60837555,-0.005159451,0.06153857,0.127191077,Medlyn
92,24.62206151,24.60837555,-0.005159451,0.06153857,0.127191077,Medlyn
93,24.62206151,24.60837555,-0.005159451,0.06153857,0.127191077,Medlyn
94,24.62206151,24.60837555,-0.005159451,0.06153857,0.127191077,Medlyn
95,24.04045128,24.042951,-0.005912576,0.005553982,0.113292221,Medlyn
96,22.17554101,22.19458893,-0.0057596,0.057758189,0.161657022,Medlyn
97,23.87332369,23.89121339,-0.00634282,0.035285132,0.196808126,Medlyn
98,22.19684939,22.22565719,-0.010371344,0.0017494,0.149842257,Medlyn
99,22.67602039,22.67823423,-0.007513605,0.011550443,0.183900575,Medlyn
100,21.93919998,21.9223681,-0.005930209,0.276696354,0.290057281,Medlyn
101,25.14762799,25.162569,-0.003737223,0.015048543,0.088963142,Medlyn
102,24.99715344,25.00557511,-0.003038611,0.057758189,0.080154759,Medlyn
103,25.14762799,25.162569,-0.003737223,0.015048543,0.088963142,Medlyn
104,24.99715344,25.00557511,-0.003038611,0.057758189,0.080154759,Medlyn
105,26.00272016,26.1091943,-0.012323924,0.003027925,0.224210808,Medlyn
106,26.00272016,26.1091943,-0.012323924,0.003027925,0.224210808,Medlyn
107,24.70368315,24.7055109,-0.004888231,0.032783902,0.11827107,Medlyn
108,24.06718775,24.08465827,-0.002454862,0.299404607,0.11029749,Medlyn
109,23.04464792,23.04649568,-0.010702968,0.000314275,0.149499484,Medlyn
110,23.04996446,23.050155,-0.010069781,0.000433225,0.150830064,Medlyn
111,22.35753117,22.37317817,-0.019739906,0.000157818,0.231404657,Medlyn
112,23.80761257,23.80153567,-0.010770919,0.004298292,0.194813326,Medlyn
113,24.85181028,24.87893086,-0.000353061,0.812508546,0.138471556,Medlyn
114,24.37517886,24.37528387,-0.00601579,0.071605181,0.17083655,Medlyn
115,22.35709198,22.40440211,-0.007455869,0.131521222,0.263615777,Medlyn
116,23.1550543,23.16491418,-0.008525078,0.002425558,0.16336519,Medlyn
117,24.37754646,24.38031865,-0.004869674,0.115719755,0.170881093,Medlyn
118,22.35709198,22.40440211,-0.007455869,0.131521222,0.263615777,Medlyn
119,23.1550543,23.16491418,-0.008525078,0.002425558,0.16336519,Medlyn
120,24.37754646,24.38031865,-0.004869674,0.115719755,0.170881093,Medlyn
