Site,Lat,Lon,PFT,Year,D13C_gpp,D13C_gs,D13C_6-8,Discr_mod,Stom_mod,beta_stress,Obs
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,18.96728941
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,19.56728941
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,17.76728941
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,20.76728941
171,34.95,-114.42,NET,1987,21.63917569,20.36467619,17.51111677,simple,Jacobs,0.010380722,18.86728941
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,18.56728941
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,15.76728941
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,19.06728941
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,20.36728941
171,34.95,-114.42,BET,1987,22.70303532,22.01909401,20.13784893,simple,Jacobs,0.010694647,18.16728941
171,34.95,-114.42,BET,1988,21.89539895,22.13564676,20.30787608,simple,Jacobs,0.032676605,18.9
171,34.95,-114.42,BET,1988,21.89539895,22.13564676,20.30787608,simple,Jacobs,0.032676605,18.15
171,34.95,-114.42,BET,1988,21.89539895,22.13564676,20.30787608,simple,Jacobs,0.032676605,17.42868941
171,34.95,-114.42,BET,1988,21.89539895,22.13564676,20.30787608,simple,Jacobs,0.032676605,17.25
171,34.95,-114.42,BET,1988,21.89539895,22.13564676,20.30787608,simple,Jacobs,0.032676605,19.56868941
171,34.95,-114.42,NET,1988,20.33323928,20.53427105,17.75378919,simple,Jacobs,0.03373895,18.52868941
